RB,Overall,Player,Team,AVG
1,1,Christian McCaffrey,SF,1
2,6,Breece Hall,NYJ,2.5
3,8,Bijan Robinson,ATL,2.5
4,12,Saquon Barkley,PHI,5
5,13,Jahmyr Gibbs,DET,5
6,14,Jonathan Taylor,IND,5
7,15,Kyren Williams,LAR,7
8,19,Derrick Henry,BAL,9
9,20,Travis Etienne Jr.,JAC,9
10,24,Isiah Pacheco,KC,10.5
11,26,De'Von Achane,MIA,11
12,35,Joe Mixon,HOU,13
13,36,James Cook,BUF,13
14,34,Josh Jacobs,GB,13.5
15,38,Rachaad White,TB,14
16,43,Alvin Kamara,NO,15
17,50,Kenneth Walker III,SEA,17
18,55,Aaron Jones,MIN,18
19,63,Rhamondre Stevenson,NE,20.5
20,66,David Montgomery,DET,20.5
21,64,D'Andre Swift,CHI,20.5
22,67,James Conner,ARI,21
23,72,Zamir White,LV,23.5
24,76,Najee Harris,PIT,25
25,78,Jonathon Brooks,CAR,26
26,83,Tony Pollard,TEN,27.5
27,88,Nick Chubb,CLE,27.5
28,85,Raheem Mostert,MIA,28
29,84,Jaylen Warren,PIT,28.5
30,92,Zack Moss,CIN,29.5
31,95,Brian Robinson Jr.,WAS,31
32,94,Javonte Williams,DEN,31
33,96,Austin Ekeler,WAS,31.5
34,104,Devin Singletary,NYG,34.5
35,102,Tyjae Spears,TEN,34.5
36,110,Trey Benson,ARI,36
37,105,Ezekiel Elliott,DAL,36.5
38,114,Blake Corum,LAR,38
39,117,Gus Edwards,LAC,38.5
40,120,Jerome Ford,CLE,40
41,125,Chase Brown,CIN,41.5
42,124,Zach Charbonnet,SEA,41.5
43,134,J.K. Dobbins,LAC,44
44,146,Kendre Miller,NO,45
45,161,Jaylen Wright,MIA,47.5
46,158,Chuba Hubbard,CAR,47.5
47,150,Tyler Allgeier,ATL,47.5
48,154,Antonio Gibson,NE,48
49,153,MarShawn Lloyd,GB,48
50,152,Ty Chandler,MIN,48
51,160,Rico Dowdle,DAL,48.5
52,172,Jaleel McLaughlin,DEN,50.5
53,195,Tyrone Tracy Jr.,NYG,54.5
54,197,Kimani Vidal,LAC,55.5
55,199,Elijah Mitchell,SF,56
56,201,Clyde Edwards-Helaire,KC,57.5
57,205,Khalil Herbert,CHI,58.5
58,221,Ray Davis,BUF,59
59,214,Alexander Mattison,LV,59.5
60,233,Dameon Pierce,HOU,61.5
61,241,Keaton Mitchell,BAL,62.5
62,253,AJ Dillon,GB,64.5
63,255,Audric Estime,DEN,64.5
64,245,Braelon Allen,NYJ,57
65,248,Bucky Irving,TB,58
66,249,Roschon Johnson,CHI,59
67,293,Kyle Juszczyk,SF,60
68,318,Kenneth Gainwell,PHI,70.5
69,315,Louis Rees-Zammit,KC,64
70,319,Jermar Jefferson,DET,65
71,271,Tank Bigsby,JAC,66
72,281,Isaac Guerendo,SF,67
73,359,Kenyan Drake,,68
74,284,Will Shipley,PHI,74
75,366,Dalvin Cook,,69
76,285,D'Onta Foreman,CLE,69
77,368,Chris Evans,CIN,70
78,379,Travis Homer,CHI,71
79,304,Justice Hill,BAL,79
80,387,SaRodorick Thompson Jr.,,72
81,307,Dylan Laube,LV,72
82,314,Deuce Vaughn,DAL,73
83,390,Keaontay Ingram,KC,73
84,393,Raheem Blackshear,CAR,74
85,394,Patrick Ricard,BAL,75
86,329,Miles Sanders,CAR,78.5
87,398,Alec Ingold,MIA,76
88,336,Trey Sermon,IND,76
89,399,DeeJay Dallas,ARI,77
90,339,Rasheen Ali,BAL,80.5
91,405,Cam Akers,HOU,78
92,345,Eric Gray,NYG,78
93,348,Samaje Perine,DEN,79
94,412,JaMycal Hasty,NE,79
95,417,Cordarrelle Patterson,PIT,81
96,423,Hassan Haskins,TEN,83
97,433,Deneric Prince,KC,85
98,435,J.J. Taylor,HOU,86
99,440,Jordan Wilkins,,88
100,441,Myles Gaskin,MIN,89
101,445,Derek Watt,,90
102,446,Sione Vaki,DET,91
103,447,Boston Scott,LAR,92
104,454,Pierre Strong Jr.,CLE,93
105,457,Jeff Wilson Jr.,MIA,94
106,458,Keilan Robinson,JAC,95
107,460,Justin Jackson,,96
108,467,C.J. Ham,MIN,97
109,475,Mike Davis,,98
110,478,Kene Nwangwu,MIN,99
111,484,Kylin Hill,,100
