Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Christian McCaffrey,SF,274.2,"1,294.60",11.7,69.9,566.2,4.8,1.7,351.4
Breece Hall,NYJ,249.9,"1,121.90",7.8,66.9,529.6,3.8,1.4,299.2
Bijan Robinson,ATL,238.7,"1,093.60",7.3,65.1,531.9,4.3,2.2,292.6
Saquon Barkley,PHI,269.6,"1,140.10",9.1,49,351.5,3,1.7,267.7
Jonathan Taylor,IND,283,"1,269.20",10,37.2,279.5,1.6,1.4,259.1
Kyren Williams,LAR,258.1,"1,154.10",10.3,36.3,263.9,2.2,1.7,249.6
Jahmyr Gibbs,DET,201.3,946.3,8.4,55,392.1,2.2,1.4,249.6
Travis Etienne Jr.,JAC,250.2,"1,023.10",8.4,45.8,355.7,1.4,1.3,239.7
Rachaad White,TB,241.5,934.1,6.6,54.3,410.1,2.4,1.7,239.2
Isiah Pacheco,KC,238.9,"1,066.80",8.5,41.2,274,2,1.4,235.6
Alvin Kamara,NO,195.6,773.2,5.1,65.9,466,2.2,0.9,231.9
Josh Jacobs,GB,255,"1,056.00",8.3,39.2,298.8,1.3,1.1,230.5
Derrick Henry,BAL,265.8,"1,178.50",11,24.1,194.3,0.9,1,230.4
De'Von Achane,MIA,175.4,907.5,7.2,45.5,348.1,2.9,0.9,229.8
James Cook,BUF,236.7,"1,039.10",5,44.6,379.5,2.6,1.4,229.4
Joe Mixon,HOU,248.6,965.1,7.8,39.6,300.7,2.1,0.9,224.1
Kenneth Walker III,SEA,237.7,994.9,8.9,29.1,225,1,0.9,209.1
Aaron Jones,MIN,189.9,872.2,5.5,43.4,320.3,2,1,205.2
Rhamondre Stevenson,NE,215,890.3,5.8,42.3,290.5,0.9,1,198.1
D'Andre Swift,CHI,198.7,879.7,5.7,37.7,259.4,1.6,1,193.8
Zamir White,LV,229.9,969.5,5.6,34.2,238.8,0.8,1.3,191.1
David Montgomery,DET,203.9,893.2,9.8,22,165.4,0.8,0.9,190.1
Najee Harris,PIT,240.2,959.2,6.9,29.3,184.5,1.2,1,190
James Conner,ARI,201.6,882.9,6.6,32.6,223,1.4,0.9,189.7
Raheem Mostert,MIA,168.8,799.4,8.4,26.2,183.6,1.5,1,182.2
Jaylen Warren,PIT,145.2,696.2,3.9,48.4,329.7,1.7,1.4,182.1
Javonte Williams,DEN,196.4,802.8,4.5,39.2,234.3,1.5,0.9,177.3
Zack Moss,CIN,190.2,805.4,6.3,29.9,206.7,1.4,0.5,176.3
Tony Pollard,TEN,189.5,809.4,5.6,33.5,231,0.8,0.9,174
Devin Singletary,NYG,196.5,857.3,5,33.4,216.1,0.7,1,172.6
Jonathon Brooks,CAR,196.3,840,5.2,30.4,232.6,1.1,1.6,172
Brian Robinson Jr.,WAS,184.5,762.6,5.3,29.2,247.4,1.8,1.5,170
Austin Ekeler,WAS,124.4,516.9,4.1,46.7,373.4,2,1.7,169.2
Tyjae Spears,TEN,144.1,612.9,3.6,43.7,338.6,1.5,0.9,167.8
Ezekiel Elliott,DAL,180.5,701.8,6.2,31.8,211.2,1.3,1,166.4
Nick Chubb,CLE,179.5,829.3,5.8,19.7,156.9,0.6,0.9,155.5
Gus Edwards,LAC,187.2,798.8,7.1,16.2,140.5,0.4,1.3,152.4
Chase Brown,CIN,116.5,530.4,3.4,34.8,286.6,1.8,0.5,146.7
Jerome Ford,CLE,147.3,566.5,3.7,29.6,210.1,1.7,0.8,137.7
Antonio Gibson,NE,116.9,445.5,2.3,37.6,283.9,1.2,1.4,129
Zach Charbonnet,SEA,114.9,503.8,3,33.3,224.7,0.8,0.8,127.5
Ty Chandler,MIN,142.6,586.7,4.4,20.4,149.7,0.6,0.8,122.6
J.K. Dobbins,LAC,130.3,531,3.6,22.9,172.7,1.5,0.9,122.1
Tyler Allgeier,ATL,133.2,550.6,3.8,21.3,169.4,1.2,0.8,121.8
Trey Benson,ARI,131.4,568.5,3.9,19.4,141.6,0.9,1.5,115.9
Blake Corum,LAR,128.9,542.6,4.1,19.7,152.4,0.7,1.5,115.4
Jaleel McLaughlin,DEN,107.8,504.1,2.8,26,166.3,0.9,0.8,114
Rico Dowdle,DAL,144.1,533.9,3.5,18.8,143.5,1,0.4,112.7
Chuba Hubbard,CAR,121.4,505.6,3.3,22.4,153.7,0.5,0.8,109.6
Kendre Miller,NO,98.3,397.7,2.7,24.2,190.4,1.1,0.8,104.4
MarShawn Lloyd,GB,101.7,416.5,3.1,18.3,142.2,1,1.1,96.6
Clyde Edwards-Helaire,KC,80,316.4,2.1,20.7,171.7,1.2,0.5,88.4
Khalil Herbert,CHI,105.9,447.3,2.7,12.9,89.4,0.7,0.8,85.1
Ray Davis,BUF,87.1,370.4,2.9,15.9,130.6,0.6,1.2,84.3
Alexander Mattison,LV,105.2,405.9,2.7,13.9,93.5,1,0.9,83.9
Roschon Johnson,CHI,75.9,289.5,2.3,21.1,138.8,0.6,0.5,79.9
Bucky Irving,TB,96.5,363.4,2.5,13.5,109.2,0.7,1.1,77.7
Samaje Perine,DEN,52.1,211.8,1.2,26.2,201.2,0.8,1.2,77.3
Tyrone Tracy Jr.,NYG,97.2,361.5,2.2,14.7,107.7,0.5,1.1,75.3
Elijah Mitchell,SF,98.3,402.6,3.2,9.2,59.4,0.2,0.7,73.9
Braelon Allen,NYJ,100.5,385.3,2.7,10,78,0.5,0.8,73.5
Kenneth Gainwell,PHI,75.6,287.6,2.2,17.7,124.2,0.5,1.2,72.3
D'Onta Foreman,CLE,94.2,357.8,2.6,9.4,76.5,0.6,0.4,71.6
