Player,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17
Ja'Marr Chase,12.2,7.5,29.8,17.5,41.3,12.2,17.6,20.4,11.3,55.4,26.5,,20.6,45.1,18.4,22.4,19.2
Justin Jefferson,15.9,23.3,20.1,20.5,15.2,,21.4,19.5,21.6,9.8,14.1,4.7,16.9,32.2,20.3,36.4,17.2
AmonRa St. Brown,4.3,22.9,20.5,20.8,,13.7,25.2,8.7,18.6,18,38.7,12.2,12.3,10.3,37.3,19,20
Brian Thomas Jr.,14.7,11.4,9.8,21.9,23.2,5.7,22.1,15,6.2,3.2,13.6,,18.7,16.6,32.5,28.2,23.9
CeeDee Lamb,13.6,19,8.7,23.6,11.4,16.1,,39.6,16.2,8.4,18.6,16.8,5.9,21.4,26.6,17.5,
Malik Nabers,11.6,28.7,28.2,23.1,,,8.1,14.1,14.9,10.8,,12.4,15.3,14.9,24.2,13.8,36.1
Jaxon SmithNjigba,3.9,23.7,6.9,13.1,13.1,10.3,5.3,12.9,37,,21.8,19.7,11.9,19.6,18.3,24,6.2
Terry McLaurin,3.7,8.2,20,18.2,13.4,23.3,15.8,17.5,15.9,16.3,2,21.2,27.3,,26.3,17,1.5
Garrett Wilson,12,10.2,14.3,7.1,29.1,24.7,13.1,16.3,30,9.1,5.8,,9.1,18.4,14.6,11.4,17.6
Drake London,3.5,17.4,18.7,12.4,33.4,19.4,18.3,7.4,10.7,17.7,9.1,,17.3,12,14.3,10.9,17.6
Jerry Jeudy,11.5,12.3,8.7,13.2,2.6,4.5,2.8,12.9,14.3,,26.2,14.5,40.5,17.4,21.8,4,21.4
Ladd McConkey,14.9,4.6,7.4,17.7,,8.3,9.6,29.1,11.4,7.2,18.3,14.3,20.7,,16.8,14.7,29.4
Mike Evans,23.1,7.2,3.7,23.4,23.2,5.4,9.5,,,,,11.8,25.8,10.9,36.9,11.9,29.7
